MSOA Code,Fatal,Serious,Slight,2011 Total
E02000824,0,3,48,51
E02000825,0,0,6,6
E02000826,0,2,17,19
E02000827,0,3,47,50
E02000828,0,5,58,63
E02000829,0,10,48,58
E02000830,0,3,20,23
E02000831,0,3,27,30
E02000832,0,5,24,29
E02000833,0,1,5,6
E02000834,0,2,28,30
E02000835,0,0,13,13
E02000836,0,0,14,14
E02000837,0,3,24,27
E02000838,0,1,27,28
E02000839,0,2,47,49
E02006802,0,17,75,92
E02000840,0,3,17,20
E02000841,0,0,47,47
E02000842,1,1,29,31
E02000843,0,1,6,7
E02000844,0,0,15,15
E02000845,0,0,5,5
E02000846,0,1,25,26
E02000847,0,1,15,16
E02000848,0,1,24,25
E02000849,1,2,18,21
E02000850,1,4,24,29
E02000851,0,2,30,32
E02000852,0,1,19,20
E02000853,0,4,6,10
E02000854,0,1,27,28
E02000855,0,2,25,27
E02000856,0,2,22,24
E02000857,0,1,37,38
E02000858,0,2,14,16
E02000859,0,0,22,22
E02000860,0,4,14,18
E02000861,0,2,14,16
E02000863,1,6,20,27
E02006836,0,0,8,8
E02000864,0,2,13,15
E02000865,0,4,13,17
E02000866,1,3,48,52
E02000867,1,7,38,46
E02000868,1,5,20,26
E02000869,0,2,13,15
E02000870,0,0,6,6
E02000871,1,2,19,22
E02000872,0,4,12,16
E02000873,1,1,21,23
E02000874,0,2,20,22
E02000875,1,2,18,21
E02000876,1,6,39,46
E02000877,0,2,35,37
E02000878,0,9,66,75
E02000879,0,0,39,39
E02000880,0,2,37,39
E02000881,0,1,18,19
E02000882,0,1,19,20
E02000883,0,0,27,27
E02000884,1,7,58,66
E02000885,0,2,28,30
E02000886,0,4,17,21
E02000887,0,8,34,42
E02000888,0,6,60,66
E02000889,0,5,21,26
E02000890,0,3,23,26
E02000891,0,2,50,52
E02000893,0,0,4,4
E02000894,0,1,4,5
E02006853,0,0,0,0
E02006854,0,2,24,26
E02000895,0,2,25,27
E02000896,0,1,21,22
E02000897,0,1,26,27
E02000898,0,2,14,16
E02000899,0,2,22,24
E02000900,0,1,25,26
E02000901,0,1,14,15
E02000902,0,1,19,20
E02000903,2,2,38,42
E02000904,0,0,39,39
E02000905,0,1,21,22
E02000906,0,1,25,26
E02000907,0,3,31,34
E02000908,1,4,25,30
E02000909,0,3,30,33
E02000910,0,4,36,40
E02000911,1,3,38,42
E02000912,0,2,10,12
E02000913,0,5,32,37
E02000914,0,5,54,59
E02000915,0,3,30,33
E02000916,0,2,54,56
E02000917,0,1,14,15
E02000918,0,4,26,30
E02000919,0,2,14,16
E02000920,0,6,38,44
E02000921,0,1,16,17
E02000922,0,1,11,12
E02000923,0,3,33,36
E02000924,1,5,40,46
E02000925,0,5,24,29
E02000926,0,4,15,19
E02000927,0,4,20,24
E02000928,0,1,10,11
E02000929,0,4,22,26
E02000930,0,1,35,36
E02000931,0,3,23,26
E02000932,0,8,53,61
E02000933,0,3,38,41
E02000934,2,5,56,63
E02000935,0,5,21,26
E02000936,1,4,27,32
E02000937,0,2,26,28
E02000938,0,3,14,17
E02000939,0,0,6,6
E02000940,0,2,23,25
E02000941,0,2,12,14
E02000942,0,3,30,33
E02000943,0,4,34,38
E02000944,0,1,9,10
E02000945,0,6,45,51
E02000946,0,0,15,15
E02000947,0,2,10,12
E02000948,0,0,13,13
E02000949,0,4,37,41
E02000950,0,0,7,7
E02000951,0,3,52,55
E02000952,0,4,19,23
E02000953,0,2,11,13
E02000954,0,1,35,36
E02000955,0,1,17,18
E02000956,0,3,41,44
E02000957,0,6,58,64
E02000958,0,2,19,21
E02000959,0,4,15,19
E02000960,0,5,24,29
E02000961,0,3,25,28
E02000962,0,3,38,41
E02000963,0,0,8,8
E02000964,0,2,21,23
E02000965,0,1,11,12
E02000966,0,0,22,22
E02000967,1,5,62,68
E02000968,0,3,65,68
E02000969,0,4,31,35
E02000970,0,10,106,116
E02000971,0,6,79,85
E02000972,1,23,180,204
E02000973,0,0,19,19
E02000974,0,3,54,57
E02000975,0,4,20,24
E02000976,0,1,23,24
E02000977,1,35,320,356
E02000978,2,15,132,149
E02000979,0,14,101,115
E02000980,1,5,28,34
E02000981,0,1,21,22
E02000982,0,5,40,45
E02000983,0,4,38,42
