Code,Area,Year,Measure,Value
E02000323,Greenwich 011,Year ending Dec 2011,Mean,186594
E02000324,Greenwich 012,Year ending Dec 2011,Mean,252260
E02000326,Greenwich 014,Year ending Dec 2011,Mean,280613
E02000327,Greenwich 015,Year ending Dec 2011,Mean,179200
E02000328,Greenwich 016,Year ending Dec 2011,Mean,418484
E02000329,Greenwich 017,Year ending Dec 2011,Mean,190984
E02000331,Greenwich 019,Year ending Dec 2011,Mean,262236
E02000332,Greenwich 020,Year ending Dec 2011,Mean,241434
E02000333,Greenwich 021,Year ending Dec 2011,Mean,528229
E02000334,Greenwich 022,Year ending Dec 2011,Mean,260195
E02000335,Greenwich 023,Year ending Dec 2011,Mean,240073
E02000337,Greenwich 025,Year ending Dec 2011,Mean,232482
E02000339,Greenwich 027,Year ending Dec 2011,Mean,304522
E02000340,Greenwich 028,Year ending Dec 2011,Mean,246525
E02000341,Greenwich 029,Year ending Dec 2011,Mean,201237
E02000342,Greenwich 030,Year ending Dec 2011,Mean,217651
E02000343,Greenwich 031,Year ending Dec 2011,Mean,280346
E02000344,Greenwich 032,Year ending Dec 2011,Mean,263084
E02006786,Greenwich 033,Year ending Dec 2011,Mean,176676
E02006927,Greenwich 034,Year ending Dec 2011,Mean,382473
E02006928,Greenwich 035,Year ending Dec 2011,Mean,313753
E02006929,Greenwich 036,Year ending Dec 2011,Mean,310388
E02006930,Greenwich 037,Year ending Dec 2011,Mean,396548
E02006931,Greenwich 038,Year ending Dec 2011,Mean,534018
E02000345,Hackney 001,Year ending Dec 2011,Mean,305963
E02000346,Hackney 002,Year ending Dec 2011,Mean,223026
E02000347,Hackney 003,Year ending Dec 2011,Mean,346929
E02000348,Hackney 004,Year ending Dec 2011,Mean,337418
E02000350,Hackney 006,Year ending Dec 2011,Mean,358038
E02000351,Hackney 007,Year ending Dec 2011,Mean,355332
E02000352,Hackney 008,Year ending Dec 2011,Mean,341167
E02000353,Hackney 009,Year ending Dec 2011,Mean,456559
E02000354,Hackney 010,Year ending Dec 2011,Mean,285123
E02000355,Hackney 011,Year ending Dec 2011,Mean,339391
E02000356,Hackney 012,Year ending Dec 2011,Mean,392348
E02000357,Hackney 013,Year ending Dec 2011,Mean,193794
E02000358,Hackney 014,Year ending Dec 2011,Mean,346169
E02000359,Hackney 015,Year ending Dec 2011,Mean,358496
E02000360,Hackney 016,Year ending Dec 2011,Mean,284921
E02000361,Hackney 017,Year ending Dec 2011,Mean,306422
E02000362,Hackney 018,Year ending Dec 2011,Mean,272449
E02000363,Hackney 019,Year ending Dec 2011,Mean,282598
E02000364,Hackney 020,Year ending Dec 2011,Mean,418725
E02000365,Hackney 021,Year ending Dec 2011,Mean,383373
E02000366,Hackney 022,Year ending Dec 2011,Mean,424663
E02000367,Hackney 023,Year ending Dec 2011,Mean,344842
E02000368,Hackney 024,Year ending Dec 2011,Mean,304040
E02000369,Hackney 025,Year ending Dec 2011,Mean,367280
E02000370,Hackney 026,Year ending Dec 2011,Mean,381740
E02000371,Hackney 027,Year ending Dec 2011,Mean,398723
E02006918,Hackney 028,Year ending Dec 2011,Mean,233860
E02006921,Hackney 029,Year ending Dec 2011,Mean,251540
E02000372,Hammersmith and Fulham 001,Year ending Dec 2011,Mean,280138
E02000373,Hammersmith and Fulham 002,Year ending Dec 2011,Mean,229000
E02000374,Hammersmith and Fulham 003,Year ending Dec 2011,Mean,459427
E02000375,Hammersmith and Fulham 004,Year ending Dec 2011,Mean,455787
E02000376,Hammersmith and Fulham 005,Year ending Dec 2011,Mean,414483
E02000377,Hammersmith and Fulham 006,Year ending Dec 2011,Mean,415532
E02000378,Hammersmith and Fulham 007,Year ending Dec 2011,Mean,426881
E02000379,Hammersmith and Fulham 008,Year ending Dec 2011,Mean,580820
E02000380,Hammersmith and Fulham 009,Year ending Dec 2011,Mean,633596
E02000381,Hammersmith and Fulham 010,Year ending Dec 2011,Mean,879608
E02000382,Hammersmith and Fulham 011,Year ending Dec 2011,Mean,697420
E02000383,Hammersmith and Fulham 012,Year ending Dec 2011,Mean,507782
E02000384,Hammersmith and Fulham 013,Year ending Dec 2011,Mean,446002
E02000385,Hammersmith and Fulham 014,Year ending Dec 2011,Mean,465299
E02000386,Hammersmith and Fulham 015,Year ending Dec 2011,Mean,457577
E02000387,Hammersmith and Fulham 016,Year ending Dec 2011,Mean,453553
E02000388,Hammersmith and Fulham 017,Year ending Dec 2011,Mean,622676
E02000389,Hammersmith and Fulham 018,Year ending Dec 2011,Mean,673898
E02000390,Hammersmith and Fulham 019,Year ending Dec 2011,Mean,610132
E02000391,Hammersmith and Fulham 020,Year ending Dec 2011,Mean,1174500
E02000392,Hammersmith and Fulham 021,Year ending Dec 2011,Mean,767217
E02000393,Hammersmith and Fulham 022,Year ending Dec 2011,Mean,688871
E02000394,Hammersmith and Fulham 023,Year ending Dec 2011,Mean,602716
E02000395,Hammersmith and Fulham 024,Year ending Dec 2011,Mean,971361
E02000396,Hammersmith and Fulham 025,Year ending Dec 2011,Mean,936719
E02000397,Haringey 001,Year ending Dec 2011,Mean,279114
E02000398,Haringey 002,Year ending Dec 2011,Mean,174064
E02000400,Haringey 004,Year ending Dec 2011,Mean,385631
E02000401,Haringey 005,Year ending Dec 2011,Mean,219683
E02000402,Haringey 006,Year ending Dec 2011,Mean,200364
E02000403,Haringey 007,Year ending Dec 2011,Mean,314760
E02000404,Haringey 008,Year ending Dec 2011,Mean,243018
E02000405,Haringey 009,Year ending Dec 2011,Mean,535489
E02000406,Haringey 010,Year ending Dec 2011,Mean,254352
E02000407,Haringey 011,Year ending Dec 2011,Mean,188868
E02000408,Haringey 012,Year ending Dec 2011,Mean,207174
E02000409,Haringey 013,Year ending Dec 2011,Mean,288620
E02000410,Haringey 014,Year ending Dec 2011,Mean,556876
E02000411,Haringey 015,Year ending Dec 2011,Mean,189504
E02000412,Haringey 016,Year ending Dec 2011,Mean,267014
E02000413,Haringey 017,Year ending Dec 2011,Mean,675579
E02000414,Haringey 018,Year ending Dec 2011,Mean,236847
E02000415,Haringey 019,Year ending Dec 2011,Mean,285549
E02000416,Haringey 020,Year ending Dec 2011,Mean,318157
E02000417,Haringey 021,Year ending Dec 2011,Mean,627255
E02000418,Haringey 022,Year ending Dec 2011,Mean,613176
E02000419,Haringey 023,Year ending Dec 2011,Mean,333310
E02000420,Haringey 024,Year ending Dec 2011,Mean,238435
E02000421,Haringey 025,Year ending Dec 2011,Mean,180246
E02000422,Haringey 026,Year ending Dec 2011,Mean,239026
E02000423,Haringey 027,Year ending Dec 2011,Mean,291304
E02000424,Haringey 028,Year ending Dec 2011,Mean,457158
E02000425,Haringey 029,Year ending Dec 2011,Mean,357189
E02000426,Haringey 030,Year ending Dec 2011,Mean,939624
E02000427,Haringey 031,Year ending Dec 2011,Mean,339486
E02000428,Haringey 032,Year ending Dec 2011,Mean,243359
E02000429,Haringey 033,Year ending Dec 2011,Mean,594668
E02000430,Haringey 034,Year ending Dec 2011,Mean,492506
E02000431,Haringey 035,Year ending Dec 2011,Mean,566794
E02000432,Haringey 036,Year ending Dec 2011,Mean,386850
E02006794,Haringey 037,Year ending Dec 2011,Mean,180735
E02000433,Harrow 001,Year ending Dec 2011,Mean,572280
E02000434,Harrow 002,Year ending Dec 2011,Mean,334025
E02000435,Harrow 003,Year ending Dec 2011,Mean,398554
E02000436,Harrow 004,Year ending Dec 2011,Mean,504790
E02000437,Harrow 005,Year ending Dec 2011,Mean,298508
E02000438,Harrow 006,Year ending Dec 2011,Mean,368887
E02000439,Harrow 007,Year ending Dec 2011,Mean,256473
E02000440,Harrow 008,Year ending Dec 2011,Mean,409276
E02000441,Harrow 009,Year ending Dec 2011,Mean,499998
E02000442,Harrow 010,Year ending Dec 2011,Mean,300077
E02000443,Harrow 011,Year ending Dec 2011,Mean,250148
E02000444,Harrow 012,Year ending Dec 2011,Mean,283119
E02000445,Harrow 013,Year ending Dec 2011,Mean,241263
E02000447,Harrow 015,Year ending Dec 2011,Mean,346286
E02000448,Harrow 016,Year ending Dec 2011,Mean,639339
E02000449,Harrow 017,Year ending Dec 2011,Mean,277905
E02000451,Harrow 019,Year ending Dec 2011,Mean,350586
E02000452,Harrow 020,Year ending Dec 2011,Mean,250662
E02000453,Harrow 021,Year ending Dec 2011,Mean,271838
E02000454,Harrow 022,Year ending Dec 2011,Mean,426742
E02000455,Harrow 023,Year ending Dec 2011,Mean,267145
